Episode	EpReward	EpSteps	EpDist	DistHigh	AverageStepReward	StdStepReward	MaxStepReward	MinStepReward	AverageDeltaProg	StdDeltaProg	MaxDeltaProg	MinDeltaProg	TotalSteps	EpTime	TotalTime
1	-99.9999999999986	1000	110.83863	110.83863	-0.10000002	1.4901161e-08	-0.1	-0.1	0.11082788	0.123554505	0.951054	-0.8386574	1000	10.348156452178955	10.348156452178955
2	935.3999999999994	647	148.7036	148.7036	1.4457496	39.287594	1000.0	-0.1	0.22983079	0.6448352	9.468483	-0.34752083	1647	10.44223666191101	20.792393684387207
3	936.7999999999994	633	146.05873	148.7036	1.4799368	39.718994	1000.0	-0.1	0.23073556	0.5951664	9.945539	-0.4036827	2280	10.52806568145752	31.322460651397705
4	939.2999999999994	608	150.4024	150.4024	1.5449013	40.526043	1000.0	-0.1	0.24736607	0.6995369	9.642403	-0.2817726	2888	10.38322138786316	41.707683086395264
5	946.6999999999995	534	156.76189	156.76189	1.7728463	43.238018	1000.0	-0.1	0.29355568	0.7942594	9.641428	-0.1082325	3422	9.318033933639526	51.027716636657715
6	935.1999999999994	649	154.58495	156.76189	1.4409862	39.227104	1000.0	-0.1	0.23818299	0.6653516	9.365146	-0.21933556	4071	10.45220685005188	61.48192358016968
7	940.9999999999994	591	155.51923	156.76189	1.5922166	41.103798	1000.0	-0.1	0.26314056	0.668117	9.739462	-0.21029282	4662	9.921390295028687	71.4043197631836
8	936.1999999999994	639	148.12102	156.76189	1.4651017	39.532375	1000.0	-0.1	0.23179539	0.5575174	9.543748	-0.37606812	5301	10.41599440574646	81.82131361961365
9	939.3999999999994	607	156.99078	156.99078	1.5476112	40.559357	1000.0	-0.1	0.258631	0.64730227	9.740022	-0.12653351	5908	10.142245054244995	91.96509957313538
10	937.7999999999994	623	144.21329	156.99078	1.505297	40.035988	1000.0	-0.1	0.23147911	0.5682996	9.841457	-0.14517021	6531	10.475066423416138	102.44116616249084
11	948.0999999999996	520	166.18796	166.18796	1.8232692	43.815094	1000.0	-0.1	0.3195888	0.8616765	9.94452	-0.11695862	7051	9.166492462158203	111.6086585521698
12	-99.9999999999986	1000	0.004504964	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.9938052e-06	0.39158842	9.839936	-1.3146286	8051	15.682800769805908	127.29245805740356
13	-99.9999999999986	1000	0.015282704	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.2428843e-05	0.06266416	0.24681957	-0.29560137	9051	14.666476726531982	141.9599392414093
14	-99.9999999999986	1000	0.006119286	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.3968964e-06	0.062666185	0.4149415	-0.28631777	10051	15.296369314193726	157.257306098938
15	-99.9999999999986	1000	0.097506545	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	9.413009e-05	0.18899591	2.9159558	-1.241437	11051	15.12117600440979	172.38047981262207
16	-99.9999999999986	1000	0.0051224134	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.2266676e-06	0.20743287	2.7800827	-1.0008171	12051	14.556910276412964	186.93839025497437
17	-99.9999999999986	1000	0.85038376	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0008479225	0.38386992	9.209366	-1.1550522	13051	15.245342493057251	202.18473148345947
18	-99.9999999999986	1000	3.9624217	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0039600166	0.46025205	9.846387	-3.8728638	14051	15.97112488746643	218.15686202049255
19	-99.9999999999986	1000	0.14122728	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00013981319	0.307477	4.214303	-3.753288	15051	15.143099784851074	233.300963640213
20	-99.9999999999986	1000	2.3357449	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0023302427	0.44155118	9.284118	-3.4117167	16051	15.186647176742554	248.48961067199707
21	-99.9999999999986	1000	0.00408185	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.5911331e-06	0.38571763	3.2555418	-6.2990904	17051	15.50718879699707	263.9977996349335
22	-99.9999999999986	1000	5.2070813	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0052046124	0.5089366	9.647869	-8.362683	18051	15.888587951660156	279.8873875141144
23	-99.9999999999986	1000	0.0051626777	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	-0.0005996199	0.39280492	3.7972856	-5.373713	19051	15.104139804840088	294.9935266971588
24	-99.9999999999986	1000	0.0052534947	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.7186275e-06	0.4168671	9.744485	-3.0458941	20051	15.618319034576416	310.6128430366516
25	-99.9999999999986	1000	0.59470993	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.000594302	0.33369845	3.6338816	-2.851748	21051	14.949462175369263	325.56330704689026
26	-99.9999999999986	1000	0.020197153	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.8953502e-05	0.29338133	3.0285645	-2.0972695	22051	15.251118421554565	340.81542348861694
27	-99.9999999999986	1000	0.013219103	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	9.4155075e-06	0.2814286	3.631606	-1.8415099	23051	14.73575210571289	355.55217456817627
28	-99.9999999999986	1000	0.12257483	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00012006629	0.5055149	9.460374	-7.6253624	24051	16.657191276550293	372.2103679180145
